question,answer,additionalInfo
"Quel concept philosophique, promu par les épicuriens et les stoïciens, désigne l'absence totale de troubles et de passions, menant à la tranquillité de l'âme ?", "L'ataraxie", "Ce terme grec signifie littéralement 'absence de troubles'. C'est un idéal de sérénité recherché comme un objectif de vie."
"Quel terme, complémentaire de l'ataraxie, désigne l'absence totale de souffrance physique ?", "L'aponie", "Avec l'ataraxie, l'aponie est considérée par les épicuriens comme l'un des deux piliers du bonheur et de la sérénité."
"Quel terme philosophique, introduit par Démocrite, désigne un état d'âme serein et paisible, une forme de contentement ou de joie tranquille ?", "L'euthymie", "Ce terme est souvent traduit par 'quiétude de l'âme'. Le psychiatre et neurologue Olivier Sacks l'a popularisé en le définissant comme un état de 'bien-être moral'."
"Quel prestigieux prix américain récompense chaque année des œuvres de journalisme, de littérature et de composition musicale ?", "Le Prix Pulitzer", "Créé en 1917 par le journaliste Joseph Pulitzer, il est administré par l'université Columbia à New York."
"Quel prix, créé par le Parlement européen en 1988, récompense des personnes ou des organisations qui défendent les droits de l'Homme et la liberté de pensée ?", "Le Prix Sakharov", "Il rend hommage au scientifique et dissident soviétique Andreï Sakharov, lauréat du prix Nobel de la Paix en 1975."
"Comment appelle-t-on un concert ou un chant donné à l'aube, souvent en l'honneur de quelqu'un, par opposition à une sérénade qui est donnée le soir ?", "Une aubade", "Le mot vient du provençal 'alba' qui signifie 'aube'."
"Quel artisan spécialisé est chargé de parer et de ferrer les sabots des chevaux ?", "Un maréchal-ferrant", "Son travail combine des compétences de forgeron (pour le fer) et de vétérinaire (pour la santé du sabot)."
"Quel célèbre maréchal de France du XVIIe siècle, figure majeure de l'histoire militaire française, est associé à l'air musical 'La Marche des Rois' ?", "Henri de La Tour d'Auvergne, vicomte de Turenne", "Surnommé 'le Turenne', il est considéré comme l'un des plus grands commandants de l'histoire de la France. L'air 'La Marche des Rois' est souvent appelé 'La marche de Turenne'."
"Quel nom est donné aux révoltes ouvrières qui ont eu lieu à Lyon au XIXe siècle, menées par les ouvriers de la soie ?", "La révolte des Canuts", "La première révolte, en 1831, avait pour slogan 'Vivre en travaillant ou mourir en combattant'."
"Quel naturaliste français est célèbre pour sa théorie de l'évolution des espèces, qu'il a formulée avant Darwin, et qui repose sur le principe de l'hérédité des caractères acquis ?", "Jean-Baptiste de Lamarck", "Sa théorie, le 'Lamarckisme', est l'une des premières tentatives d'expliquer l'évolution, bien que la plupart de ses principes aient été réfutés par la suite."
"Dans la mythologie grecque, quel Titan est connu pour avoir volé le feu aux dieux de l'Olympe pour le donner aux humains ?", "Prométhée", "En punition, Zeus le condamna à être enchaîné à un rocher où un aigle venait lui dévorer le foie chaque jour, qui repoussait durant la nuit."
"Quel terme scientifique désigne les amphibiens, comme les grenouilles et les crapauds, qui ont la particularité de ne pas avoir de queue à l'âge adulte ?", "Les anoures", "Ils sont des vertébrés 'ectothermes' (à sang froid) qui subissent une 'métamorphose' pour passer de la vie aquatique à la vie terrestre. Le 'dendrobate' est une espèce d'anoure très colorée. Le terme 'batracien' est l'ancien nom scientifique des amphibiens."
"Quelle célèbre dictée française, écrite en 1857, est connue pour ses nombreuses pièges orthographiques et a été utilisée pour tester l'élite de l'époque, y compris Napoléon III ?", "La dictée de Mérimée", "Composée par Prosper Mérimée, le texte original commence par 'Pour parler sans ambages...'. L'impératrice Eugénie a fait 75 fautes, et Napoléon III, 62."
"Quel nom donne-t-on aux contractions musculaires involontaires qui, dans l'œsophage et l'intestin, permettent de faire progresser les aliments ?", "Les ondes péristaltiques", "Ces ondes propulsent la nourriture transformée en 'chyme' (masse semi-liquide) dans le tube digestif. On les retrouve également dans les oviductes."
"Quel est le nom du célèbre cheval d'Alexandre le Grand, réputé pour sa force et sa fougue ?", "Bucéphale", "Le nom signifie 'tête de bœuf', et la légende raconte qu'Alexandre fut le seul à pouvoir le monter. Il est l'un des chevaux les plus célèbres de l'Antiquité."
