question,answer,additionalInfo
"Quel est le plus grand océan du monde ?", "L'océan Pacifique", "Il représente environ 46 % de la surface des océans de la Terre."
"Quel est le plus grand pays d'Amérique du Sud ?", "Le Brésil", "Le Brésil est le plus grand pays d'Amérique du Sud, couvrant environ 47,3 % de la superficie du continent. Il est le cinquième plus grand pays du monde en termes de superficie."
"En quelle année a été inventée l'imprimerie ?", "1440", "Johannes Gutenberg a inventé l'imprimerie en 1440, ce qui a révolutionné la diffusion des connaissances et la culture en Europe."
"Quel élément est représenté par le symbole H ?", "L'hydrogène", "L'hydrogène est le premier élément du tableau périodique et le plus léger de tous les éléments chimiques."
"Qui a peint des oeuvres comme le Pandémonium, la Fin du monde, La Destruction de Sodome et Gomorrhe, le Barde .. ?", "John Martin (1789 - 1854)", "John Martin était un peintre britannique connu pour ses paysages dramatiques et ses représentations apocalyptiques. Ses œuvres sont souvent caractérisées par des cieux orageux, des paysages grandioses et une atmosphère de catastrophe imminente."
"Quelle est la cheffe la plus étoilée au monde ? ", "Anne-Sophie Pic", "Anne-Sophie Pic est une cheffe française qui a obtenu trois étoiles au Guide Michelin pour son restaurant à Valence, en France. Elle est la seule femme à avoir atteint ce niveau d'excellence dans le monde de la gastronomie."
"Dans une voiture où est positionné le joint de culasse ?", "Entre le bloc moteur et la culasse", "Quand il est mort, le liquide de refroidissement se mélange à l'huile moteur, et il y a de la "" mayonnnaise"" sous le bouchon d'huile"
"Quels sont les styles architecturaux respectifs : Cathédrale Notre-Dame, châteaux de la Loire, château de Versailles ?", "Gothique, Renaissance, Classique"
"Comment s'appelait Mario lors de sa première apparition dans Donkey Kong en 1981 ?", "Jumpman", "Il était un charpentier et non un plombier"
"Quel est le nom de la première femme à avoir obtenu un prix Nobel ?", "Marie Curie", "En 1903, les époux Curie partagent avec Henri Becquerel le prix Nobel de physique pour leurs recherches sur les radiations (radioactivité, rayonnement corpusculaire naturel). En 1911, elle obtient le prix Nobel de chimie pour ses travaux sur le polonium et le radium."
"Quelle était le nom latin de la ville de Lyon pendant l'Antiquité ?", "Lugdunum", "Lugdunum est fondée en 43 av. J.-C. par les Romains, elle devient la capitale des Gaules.( s'il est acquis que le terme de dunum vient du gaulois forteresse, celui de Lug / lugus n'est pas tranché par les spécialistes, qui hésitent entre le dieu celte Lug et le mot gaulois leucos, « lumineux ».)"
"Comment appelle-t-on une bande de terre étroite, située entre deux mers et qui relit deux terres ?", "Un isthme", "En France, il existe l'isthme de la presqu'île de Quiberon, mais aussi, celui reliant les deux îles de Saint-Pierre-et-Miquelon. Un tombolo est un type d'isthme constitué d'une accumulation de sable ou de sédiments"
